Dataset,Referencias R,Referencias F
A,96.4139,96.3880
B,116.2750,116.1873
C,108.9556,108.7075
D,97.5333,97.6011
E,161.1167,161.2284
F,134.6556,134.6941
G,169.6750,169.7897
H,166.9500,166.7639
I,109.4528,109.4026
J,168.2778,168.3396
K,168.2945,168.2949
L,79.4972,79.5417
M,205.8639,205.8932
N,166.5194,166.5306
O,62.1667,62.1082
P,89.8667,89.8036
Q,96.6917,96.6764
R,131.2750,131.2051
S,126.9611,126.8503
T,135.3445,135.2586
U,167.3972,167.4148
V,122.5500,122.3934
W,214.0917,214.1015
X,141.3528,141.3159
Y,135.4250,135.2176
Z,140.3722,140.3385
