Dataset,Pop_Size,Padres_Conf,Torneo_K,Mutacion_Conf,Cota_Inf,Cota_Sup,Semilla,Config_ID,Generacion,Tiempo_Segundos,Mejor_Costo_Medio,Costo_Medio_Poblacion
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,1000,14.6874,98.2194,102.3607
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,2000,28.6101,97.575,107.1266
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,3000,42.547,97.4917,116.698
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,4000,56.575,97.4528,105.6507
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,5000,70.5737,97.4167,102.0605
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,6000,84.5067,97.1361,102.2164
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,7000,98.5078,97.0139,108.0017
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,8000,112.5624,96.9111,104.2106
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,9000,126.5495,96.8028,112.7206
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,10000,140.4252,96.7806,105.6616
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,11000,154.3716,96.7639,100.8904
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,12000,168.4369,96.6833,104.5265
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,13000,182.4936,96.6833,108.8576
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,14000,196.4794,96.6833,102.0841
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,15000,210.5037,96.6833,109.0435
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,16000,224.5595,96.6833,102.1814
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,17000,238.6265,96.6833,106.842
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,18000,252.6829,96.6833,99.8584
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,19000,266.7052,96.6833,101.8637
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,20000,280.7329,96.6833,104.9577
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,21000,294.7968,96.6833,102.4537
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,22000,308.8455,96.6833,102.3503
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,23000,322.9181,96.6833,100.6623
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,24000,336.9805,96.6833,104.3321
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,25000,351.0314,96.6833,101.7127
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,26000,365.1071,96.6833,106.1562
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,27000,379.9887,96.6833,102.6368
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,28000,394.8457,96.6833,107.5472
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,29000,410.1914,96.6833,110.4141
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,30000,425.0291,96.6833,110.095
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,31000,439.5871,96.6833,104.6089
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,32000,454.2183,96.6833,100.2901
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,33000,469.4084,96.6722,103.8001
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,34000,483.4752,96.6722,102.2507
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,35000,497.4269,96.6722,99.3819
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,36000,511.3906,96.6722,105.0764
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,37000,525.4465,96.6722,108.8012
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,38000,539.508,96.65,107.4068
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,39000,553.5281,96.6361,105.3358
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,40000,567.5332,96.6361,106.2326
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,41000,581.5207,96.5861,106.1344
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,42000,595.5297,96.5833,102.4954
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,43000,609.5119,96.5833,104.6551
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,44000,623.4746,96.5833,102.0569
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,45000,637.4478,96.5833,101.8611
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,46000,651.4804,96.5778,101.8702
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,47000,665.5234,96.5778,101.7374
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,48000,679.5724,96.5778,105.0715
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,49000,693.606,96.5778,110.8593
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,50000,707.6441,96.5778,102.2187
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,51000,721.7073,96.5778,103.5548
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,52000,735.6374,96.5722,104.2647
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,53000,749.5777,96.5722,104.1554
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,54000,763.5956,96.5722,107.9664
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,55000,777.6857,96.55,107.1978
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,56000,791.685,96.55,106.1697
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,57000,805.6672,96.55,103.0231
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,58000,819.7003,96.55,101.8784
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,59000,833.7487,96.55,100.8574
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,60000,847.7908,96.55,101.3791
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,61000,861.7501,96.55,100.9098
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,62000,875.7158,96.55,104.9811
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,63000,889.7283,96.55,107.6501
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,64000,903.7752,96.55,112.0216
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,65000,917.832,96.55,105.0748
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,66000,931.8479,96.55,106.2511
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,67000,945.8724,96.55,103.2955
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,68000,959.9088,96.5361,112.0371
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,69000,973.9192,96.5361,105.2414
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,70000,987.9164,96.5361,104.5575
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,71000,1001.916,96.5361,108.6316
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,72000,1015.9367,96.5361,101.9393
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,73000,1029.9746,96.5361,101.0549
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,74000,1043.9882,96.5361,100.4146
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,75000,1058.0639,96.5361,102.9757
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,76000,1072.102,96.5361,101.4018
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,77000,1086.127,96.5361,101.9491
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,78000,1100.0494,96.5361,101.4491
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,79000,1113.9746,96.5361,103.683
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,80000,1127.9951,96.5361,103.124
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,81000,1142.0215,96.5361,111.6837
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,82000,1156.0163,96.5361,100.9514
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,83000,1169.9836,96.5361,111.3298
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,84000,1183.9746,96.5361,101.8426
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,85000,1197.9804,96.5361,112.4468
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,86000,1211.9519,96.5361,103.7693
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,87000,1225.8602,96.5361,104.0594
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,88000,1239.8128,96.5361,101.7512
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,89000,1253.8402,96.5361,101.6142
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,90000,1267.8505,96.5361,103.1205
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,91000,1281.8391,96.5361,101.5242
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,92000,1295.8002,96.5361,111.6988
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,93000,1309.8099,96.5361,99.829
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,94000,1323.8287,96.5361,102.0249
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,95000,1337.8385,96.5361,103.1534
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,96000,1351.8346,96.5361,103.1366
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,97000,1365.8468,96.5361,100.8996
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,98000,1379.8712,96.5361,103.6724
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,99000,1393.8837,96.5361,103.272
A,18,025,3,002,07,095,42,A_Pad025_K3_Mut002,100000,1407.9087,96.5361,102.9232
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,1000,15.7317,98.8278,105.8188
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,2000,30.7015,98.4944,109.3509
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,3000,45.6157,97.5917,113.2279
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,4000,60.7395,97.3583,104.536
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,5000,75.9732,97.3583,102.4367
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,6000,90.7058,97.3583,102.6228
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,7000,105.2897,97.3056,105.4292
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,8000,120.2428,97.3056,105.6561
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,9000,135.3795,97.3056,112.697
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,10000,150.3339,97.2278,111.0005
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,11000,165.0118,97.225,104.2097
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,12000,180.0268,97.225,106.7401
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,13000,195.0521,97.225,106.9803
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,14000,209.8451,97.225,102.5913
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,15000,224.4632,97.2,110.8446
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,16000,239.3576,97.1528,104.3215
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,17000,254.4597,97.1528,107.5387
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,18000,269.3517,97.1528,102.2642
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,19000,284.209,97.125,106.7585
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,20000,299.2446,97.075,119.9441
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,21000,314.2408,97.075,104.8071
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,22000,328.9948,96.925,108.8871
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,23000,343.4979,96.925,101.7228
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,24000,358.2972,96.925,108.6626
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,25000,373.3979,96.925,101.1849
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,26000,388.3571,96.925,120.7349
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,27000,403.1782,96.925,103.731
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,28000,418.1928,96.8306,110.7701
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,29000,433.3383,96.8306,108.7766
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,30000,448.2756,96.8306,112.7566
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,31000,463.0415,96.8306,110.8393
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,32000,477.9585,96.8306,101.6282
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,33000,493.1019,96.8306,103.5193
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,34000,508.0455,96.8306,105.1423
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,35000,522.9209,96.8306,99.7528
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,36000,537.941,96.8306,104.111
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,37000,553.1996,96.8306,107.2285
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,38000,567.8889,96.8306,103.7193
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,39000,582.3584,96.8306,105.7812
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,40000,597.1853,96.8306,109.784
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,41000,612.3516,96.8306,109.8416
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,42000,627.4195,96.8306,103.3221
A,18,025,3,003,07,095,42,A_Pad025_K3_Mut003,43000,642.2247,96.8306,124.3817
